#%GRB	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	Redshift
060116	105.900	24.10	2.61	1.11	0.32	~4.0 or ~6.6 (VLT: photometric)
060115	139.600	17.10	1.50	0.87	0.12	3.53 (VLT: absoprtion)
060108	14.300	3.69	0.37	0.77	0.12	2.03 (Liverpool: photometric)
051221A	1.400	11.50	0.35	12.00	0.39	0.547 (Gemini: emission)
051117B	9.000	1.77	0.37	0.49	0.14	0.481 (TOUGH: emission)
051111	46.100	40.80	1.34	2.66	0.21	1.549 (Keck: absorption)
051109B	14.300	2.56	0.41	0.55	0.13	0.080 (Keck I: emission)
051109A	37.200	22.00	2.72	3.94	0.69	2.346 (HET: absorption)
051016B	4.000	1.70	0.22	1.30	0.16	0.9364 (Keck: emission)
051006	34.800	13.40	1.41	1.62	0.30	1.059 (TOUGH: emission)
051001	189.100	17.40	1.47	0.49	0.11	2.4296 (TOUGH: emission)
